Id,Title,Company,Location,Description,Search_City,Link
46,Data Scientist Analyst JG19,AIG,"New York, NY","Functional Area:
OP - Operations


Estimated Travel Percentage (%): No Travel


Relocation Provided: No


National Union Fire Insurance Co of Pittsburgh, PA


Title: Analyst Data Scientist (JG19)

The Analyst Data Scientist will be responsible for developing data science and predictive modeling solutions to support AIG Personal Insurance, ranging from individual auto, property, travel, group travel, health and accidents, to services and warranties. The Advanced Modeling team is a group of world-class data scientists who are passionate about challenging the status quo and driving transformational change through innovations. We are keen to welcome a new team member who is a proven high performer, always curious and eager to learn, and values an inspiring and collaborative team work environment.

This position will collaborate with AIG product, underwriting, actuarial, and technology teams, leverage cutting edge techniques including GIS, natural language processing, deep learning, and other machine learning and predictive modeling tools to solve both classic and new challenges in an industry with a long history. Some examples of problems we face include more accurate and efficient underwriting and pricing, risk management and segmentation, usage based insurance, sharing economy, and the impact on insurance from connected/driverless cars and IOT.

Core Responsibilities:
Understand complex business challenges in different areas (underwriting, pricing, loss prevention, customer retention, claims and fraud) and design practical and scalable analytics solutions where applicable
Manipulate large volume of data using modern big data tools to construct data sets for modeling and analysis
Build predictive models using cutting edge machine learning or statistical modeling techniques
Work closely with business and technology teams in project planning, incorporate their insights to improve model outputs, and determine constraints for practical implementation
Synthesize insights from analytics and modeling projects and present the results to technical and non-technical audience
Assist in developing standards to assess and document modeling process and performance
Continuously advancing your skills and those of others

Required Qualifications:
Advanced degree (PhD preferred) in one or more quantitative fields, e.g. computer science, physics, math, statistics, economics, computational linguistics
Experience in one or more of modern machine learning and statistical modeling techniques, e.g. GLM, GAM, decision trees, random forest, SVM, deep learning, GBM, clustering, Bayesian averaging
Hands on experience manipulating large volume data in modern big data environment, e.g. Hadoop, Spark, Hive, etc.
Result-oriented and strong execution
1-3 years of experience in data science, analytics, or related areas

Highly Desired Qualifications:
Experience and knowledge in the property and casualty insurance industry
Expertise in one or more modeling/machine learning languages such as Python, R
Proficient programming skills and experience building web applications in one or more of these languages or equivalent: C++, C#, Java, PHP, Scala, Ruby
Expertise in SQL
Hands-on cloud architecture experience, AWS experience a plus
Familiarity with common computing environment (e.g. Linux, Shell Scripting)
Contributions to open-source projects a plus


It has been and will continue to be the policy of American International Group, Inc., its subsidiaries and affiliates to be an Equal Opportunity Employer. We provide equal opportunity to all qualified individuals regardless of race, color, religion, age, gender, gender expression, national origin, veteran status, disability or any other legally protected categories.

At AIG, we believe that diversity and inclusion are critical to our future and our mission – creating a foundation for a creative workplace that leads to innovation, growth, and profitability. Through a wide variety of programs and initiatives, we invest in each employee, seeking to ensure that our people are not only respected as individuals, but also truly valued for their unique perspectives.",New York,http://www.indeed.com//rc/clk?jk=64d515fbf10a8b90&fccid=9a92a4bf81326e1e&vjs=3
47,SAS Data Analyst,AIG,"New York, NY","Functional Area:
FA - Finance


Estimated Travel Percentage (%):


Relocation Provided:


National Union Fire Insurance Co of Pittsburgh, PA


As a SAS Data Analyst, the individual will contribute/lead the design and development of information solutions to address business challenges:

Designs and develops viable and efficient information solutions using advanced SAS features & functionalities
Regularly works to connect SAS data solutions with other software applications and operating system tools
Conducts briefings and participates in technical meetings with key stakeholders including Pricing data leads, portfolio actuaries, and underwriters
Applies in-depth knowledge and experience of software validation and system development life cycle to daily tasks
Applies experience to anticipate and be proactive in addressing potential issues before they become problems
Participates on high impact departmental and cross-functional teams on process standardization, process improvements, system validation, and the acquisition, customization, and integration of new tools and technologies
Coaches junior data analyst(s) on the design and delivery of information solutions

Job Requirements:


Minimum 7 years of hands-on SAS programming experience.
Proven expertise in all SAS language, procedures, and options including the Macro language, Advanced SAS, SAS EG.
Experience working with SAS Grid or SAS on Unix is preferred.
Experience with SQL procedures and SQL database is required.
Experience in building SAS/SQL data mart is a preferred.
Excellent organizational skills, demonstrated success to multi-task and deliver viable solutions in a fast-paced environment with changing priorities.
Excellent and transparent communication skills and ability to influence across multiple functions.
Positive and collaborative attitude
Background in data analytics or data science is preferred.

It has been and will continue to be the policy of American International Group, Inc., its subsidiaries and affiliates to be an Equal Opportunity Employer. We provide equal opportunity to all qualified individuals regardless of race, color, religion, age, gender, gender expression, national origin, veteran status, disability or any other legally protected categories.

At AIG, we believe that diversity and inclusion are critical to our future and our mission – creating a foundation for a creative workplace that leads to innovation, growth, and profitability. Through a wide variety of programs and initiatives, we invest in each employee, seeking to ensure that our people are not only respected as individuals, but also truly valued for their unique perspectives",New York,http://www.indeed.com//rc/clk?jk=a8a5b438e3ad3dea&fccid=9a92a4bf81326e1e&vjs=3
48,Business Analyst,Morgan Stanley,"New York, NY 10032","Company Profile
Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth management services. The Firm's employees serve clients worldwide including corporations, governments and individuals from more than 1,200 offices in 43 countries.
As a market leader, the talent and passion of our people is critical to our success. Together, we share a common set of values rooted in integrity, excellence and strong team ethic. Morgan Stanley can provide a superior foundation for building a professional career - a place for people to learn, to achieve and grow. A philosophy that balances personal lifestyles, perspectives and needs is an important part of our culture.

Technology
Technology works as a strategic partner with Morgan Stanley business units and the world's leading technology companies to redefine how we do business in ever more global, complex, and dynamic financial markets. Morgan Stanley's sizeable investment in technology results in quantitative trading systems, cutting-edge modelling and simulation software, comprehensive risk and security systems, and robust client-relationship capabilities, plus the worldwide infrastructure that forms the backbone of these systems and tools. Our insights, our applications and infrastructure give a competitive edge to clients' businesses—and to our own.

The Role
This position is for a Business Analyst role within the Wealth Management Technology Chief Operating Office COO. The COO provides central governance and support for Business, Resource, Portfolio and Financial Management, and the daytoday operations for Wealth Management. The candidate will be interfacing with other functional teams, defining business and functional requirements, driving issue analysis and resolution, recommending solutions, and helping to promote the overall program strategy. The Candidate would play a lead supporting role in the execution of the program with the following responsibilitiesAssisting with the business case, requirements elicitation, fitgap analysis and preparation of functional design documents Creating, maintaining, and automating advanced excel reports around financial and resource reportingProactively identifying key issues, roadblocks, and process enhancements and communicating solutions to senior management Serving as the primary liaison between the business and the development teamFacilitating organizational change management strategiesplans, approaches and tactics with different business unitsModeling systems, user interface design, prototyping, creating decision tablestrees and data flows Adhering to corporate policies and procedures e.g. SDLC, Data Governance, etc.Assisting in training and communication of the program standards and actionsEnsuring that business needs are met in a disciplined and consistent mannerInvestigating issues by executing queries, synthesizing analysis and translating the details for presentation to business partnersHelping to coordinate the completion of corrective actions to resolve issuesWriting unambiguous, verified requirements to a testable level functional and nonfunctionalThe candidate should be flexible, highly adaptable and an excellent team player. The role requires credibility and confidence interacting with senior management, business managers, and development teams. The candidate should expect to work in a global virtual team along with NY and India team members, sometimes across multiple time zones. The ideal candidate will be a self motivated team player committed to delivering on time and should be able to work under minimal supervision.

Primary Skills Must have Prior experience in Data AnalysisDemonstrated ability to manage multiple projects and competing priorities simultaneouslyCritical thinking and translation of business needs into technical requirementsKnowledge of data quality, policies and standardsDetail oriented and committed to a high level of accuracyExcellent writtenoral communication skills and listening skillsGood interpersonal and consultative skills, especially as it relates to handling changing requirements priorities Ability to analyze vague data inquiries and clarify specific tasks, next steps and deliverablesExcellent root cause analysis skills and problemsolvingExpertise in Excel and Powerpoint including Pivot Tables, formulas IF Statements, lookups, indexes, macros, data manipulation, and client presentationsProject Management experienceExperience with financial terms and practices3 years handson experience performing detailed analysis, gathering business requirements, and driving financial and resource metrics gathering reporting",New York,http://www.indeed.com//rc/clk?jk=16a1642e75892272&fccid=0c39fb2c91742dcf&vjs=3
49,Statistical Analyst,Mount Sinai,"New York, NY","Strength Through Diversity

Ground breaking science. Advancing medicine. Healing made personal.

Mount Sinai Health System
HSO Clinical Data Registries- 2260578

The mission of the Office of Quality Operations is to improve health system performance and outcomes by providing leadership and care teams with the data and insights they need for operations, clinical performance measurement, quality improvement, analytics and outcomes research. We provide solutions to integrate, cleanse, govern, translate and dispense information across Mount Sinai’s clinical institutes and clinical care service lines. Our team is seeking a Statistical Analyst to lead outcomes research effort, define clinical measurements and use clinical data to improve quality.

Roles & Responsibilities:
Sourcing and preparing data from various data sources.
Working with and explaining missing and messy data values.
Translating department/personal requirements for data answers with minimal guidance.
Leading an analytics/statistics project from start to finish
Visualizing answers clearly and concisely while considering all complexities that are inherent in health care data.
Documenting workflow and tools
Work with clinical teams/internal leads to define measures for assessment.
Work with senior analysts to define analysis techniques for answering these questions.
Create interactive Tableau dashboards for various hospital staff
Use common collaboration tools (git, Markdown) along with scripting languages (R, SQL) to create reproducible analyses.
Contribute to internal R packages.
Identify improvements to workflow and analysis processes used by the internal team and help implement them
Define statistically and clinically relevant survey questions.
Requirements:
Master’s degree or Ph.D. in Statistics, Mathematics, Economics or Public Health.
Possesses advanced statistics skills including an understanding of probability and its application to the analysis of data including statistical process control, process monitoring, and diagnostics.
Excellent at communicating difficult statistical concepts (Oral and Written)
Self-motivated and organized in pushing projects to completion.
Able to learn quickly on the job, with minimal guidance.
Two (+) years of experience in R
Preferred Experience:
Experience with performance improvement methodologies (Lean, Six Sigma) and data-driven improvement efforts
Experience in designing surveys for patient reported outcomes.
Strong understanding of data warehousing/organization principles.
General understanding of healthcare departmental/clinical operations, workflow, policies, and procedures
Strength Through Diversity
The Mount Sinai Health System believes that diversity is a driver for excellence. We share a common devotion to delivering exceptional patient care. Yet we’re as diverse as the city we call home- culturally, ethically, in outlook and lifestyle. When you join us, you become a
part of Mount Sinai’s unrivaled record of achievement, education and advancement as we revolutionize medicine together.

We work hard to acquire and retain the best people, and to create a welcoming, nurturing work environment where you can develop professionally. We share the belief that all employees, regardless of job title or expertise, can make an impact on quality patient care.
Explore more about this opportunity and how you can help us write a new chapter in our story!

Who We Are

Over 38,000 employees strong, the mission of the Mount Sinai Health System is to provide compassionate patient care with seamless coordination and to advance medicine through unrivaled education, research, and outreach in the many diverse communities we serve.

Formed in September 2013, The Mount Sinai Health System combines the excellence of the Icahn School of Medicine at Mount Sinai with seven premier hospital campuses, including Mount Sinai Beth Israel, Mount Sinai Beth Israel Brooklyn, The Mount Sinai Hospital, Mount Sinai Queens, Mount Sinai West (formerly Mount Sinai Roosevelt), Mount Sinai St. Luke’s, and New York Eye and Ear Infirmary of Mount Sinai.

The Mount Sinai Health System is an equal opportunity employer. We promote recognition and respect for individual and cultural differences, and we work to make our employees feel valued and appreciated, whatever their race, gender, background, or",New York,http://www.indeed.com//rc/clk?jk=34af21981ed19aac&fccid=c007936ceb766fe5&vjs=3
50,Sr. Data Analyst,EmblemHealth,"New York, NY","Sr. Data Analyst is responsible for the analysis of Emblem hospital network contact proposals. Significant impact on corporate finances with 40% of the over 200 hospital contracts renewing annually. Position consists of development and maintenance of multiple types of analytical projects/models (e.g. contract modeling, contract performance assessment, charge-master analysis, reimbursement conversions, rate development, etc…). Position requires full understanding of Emblem business practices, provider networks, reimbursement methodologies, and changes in NYS reimbursement methodologies. Individual must understand all provider contracts and translate language into Emblem terminology. Individual must understand all of Emblem’s various processing systems including claims, provider, and enrollment systems in order to evaluate ability to process claims according to contracts. Individual must have advanced technical skills to translate contracts and rate sheets into user-friendly models to facilitate the impact of proposals on trend. The individual must possess excellent written and communication skills as well as ability to work collaboratively and individually.

Accountabilities:
Analyzes hospital and ancillary rate requests for all Emblem companies and products. Builds interactive plug and play models to empower the negotiators to model all methodologies within the contract proposals. Provides detailed written impact of all rate requests.
Perform detailed contract performance on high spend contractual agreements comparing expected to actual trends and identifying areas of overpayment.
Perform charge-master analyses identifying areas of increases beyond contract allowance.
Works collaboratively with the Department Director and Network Development to ensure financial feasibility of reimbursement conversions for hospitals.
Perform other ad-hoc duties as assigned.
Knowledge, Skills & Abilities:
Able to perform well under pressure.
Strong problem solving skills.
Strong analytical skills.
Strong attention to detail.
Expertise in Cognos, Medstat, SAS, MS Office.
Able to multi-task.
Work well with other departments and staff at all levels.
Good presentation/communication skills.
Strong understanding of provider contracting language and terms.
Understanding of provider networks, reimbursement systems, and NYS / CMS reimbursement methodologies.
Strong understanding and ability to work within Emblem’s business model.
Strong understanding of the market.
Able to meet timelines.
Education & Experience:
Bachelor’s degree in Mathematics, Business or related major. Master’s Degree a plus but not required.
Minimum two to four years health insurance or Health Consulting experience.
Knowledge of New York State and Public Programs reimbursement methodologies.
Experience with physician and hospital fee schedules.
Experience in data analysis and modeling.",New York,http://www.indeed.com//rc/clk?jk=a0d4a2f913d5e939&fccid=059d889e14e3a9b4&vjs=3
51,Statistical Analyst,Mount Sinai,"New York, NY","Strength Through Diversity

Ground breaking science. Advancing medicine. Healing made personal.

Mount Sinai Health System
HSO Clinical Data Registries- 2260578

The mission of the Office of Quality Operations is to improve health system performance and outcomes by providing leadership and care teams with the data and insights they need for operations, clinical performance measurement, quality improvement, analytics and outcomes research. We provide solutions to integrate, cleanse, govern, translate and dispense information across Mount Sinai’s clinical institutes and clinical care service lines. Our team is seeking a Statistical Analyst to lead outcomes research effort, define clinical measurements and use clinical data to improve quality.

Roles & Responsibilities:
Sourcing and preparing data from various data sources.
Working with and explaining missing and messy data values.
Translating department/personal requirements for data answers with minimal guidance.
Leading an analytics/statistics project from start to finish
Visualizing answers clearly and concisely while considering all complexities that are inherent in health care data.
Documenting workflow and tools
Work with clinical teams/internal leads to define measures for assessment.
Work with senior analysts to define analysis techniques for answering these questions.
Create interactive Tableau dashboards for various hospital staff
Use common collaboration tools (git, Markdown) along with scripting languages (R, SQL) to create reproducible analyses.
Contribute to internal R packages.
Identify improvements to workflow and analysis processes used by the internal team and help implement them
Define statistically and clinically relevant survey questions.
Requirements:
Master’s degree or Ph.D. in Statistics, Mathematics, Economics or Public Health.
Possesses advanced statistics skills including an understanding of probability and its application to the analysis of data including statistical process control, process monitoring, and diagnostics.
Excellent at communicating difficult statistical concepts (Oral and Written)
Self-motivated and organized in pushing projects to completion.
Able to learn quickly on the job, with minimal guidance.
Two (+) years of experience in R
Preferred Experience:
Experience with performance improvement methodologies (Lean, Six Sigma) and data-driven improvement efforts
Experience in designing surveys for patient reported outcomes.
Strong understanding of data warehousing/organization principles.
General understanding of healthcare departmental/clinical operations, workflow, policies, and procedures
Strength Through Diversity
The Mount Sinai Health System believes that diversity is a driver for excellence. We share a common devotion to delivering exceptional patient care. Yet we’re as diverse as the city we call home- culturally, ethically, in outlook and lifestyle. When you join us, you become a
part of Mount Sinai’s unrivaled record of achievement, education and advancement as we revolutionize medicine together.

We work hard to acquire and retain the best people, and to create a welcoming, nurturing work environment where you can develop professionally. We share the belief that all employees, regardless of job title or expertise, can make an impact on quality patient care.
Explore more about this opportunity and how you can help us write a new chapter in our story!

Who We Are

Over 38,000 employees strong, the mission of the Mount Sinai Health System is to provide compassionate patient care with seamless coordination and to advance medicine through unrivaled education, research, and outreach in the many diverse communities we serve.

Formed in September 2013, The Mount Sinai Health System combines the excellence of the Icahn School of Medicine at Mount Sinai with seven premier hospital campuses, including Mount Sinai Beth Israel, Mount Sinai Beth Israel Brooklyn, The Mount Sinai Hospital, Mount Sinai Queens, Mount Sinai West (formerly Mount Sinai Roosevelt), Mount Sinai St. Luke’s, and New York Eye and Ear Infirmary of Mount Sinai.

The Mount Sinai Health System is an equal opportunity employer. We promote recognition and respect for individual and cultural differences, and we work to make our employees feel valued and appreciated, whatever their race, gender, background, or",New York,http://www.indeed.com//rc/clk?jk=34af21981ed19aac&fccid=c007936ceb766fe5&vjs=3
52,Sr. Data Analyst,EmblemHealth,"New York, NY","Sr. Data Analyst is responsible for the analysis of Emblem hospital network contact proposals. Significant impact on corporate finances with 40% of the over 200 hospital contracts renewing annually. Position consists of development and maintenance of multiple types of analytical projects/models (e.g. contract modeling, contract performance assessment, charge-master analysis, reimbursement conversions, rate development, etc…). Position requires full understanding of Emblem business practices, provider networks, reimbursement methodologies, and changes in NYS reimbursement methodologies. Individual must understand all provider contracts and translate language into Emblem terminology. Individual must understand all of Emblem’s various processing systems including claims, provider, and enrollment systems in order to evaluate ability to process claims according to contracts. Individual must have advanced technical skills to translate contracts and rate sheets into user-friendly models to facilitate the impact of proposals on trend. The individual must possess excellent written and communication skills as well as ability to work collaboratively and individually.

Accountabilities:
Analyzes hospital and ancillary rate requests for all Emblem companies and products. Builds interactive plug and play models to empower the negotiators to model all methodologies within the contract proposals. Provides detailed written impact of all rate requests.
Perform detailed contract performance on high spend contractual agreements comparing expected to actual trends and identifying areas of overpayment.
Perform charge-master analyses identifying areas of increases beyond contract allowance.
Works collaboratively with the Department Director and Network Development to ensure financial feasibility of reimbursement conversions for hospitals.
Perform other ad-hoc duties as assigned.
Knowledge, Skills & Abilities:
Able to perform well under pressure.
Strong problem solving skills.
Strong analytical skills.
Strong attention to detail.
Expertise in Cognos, Medstat, SAS, MS Office.
Able to multi-task.
Work well with other departments and staff at all levels.
Good presentation/communication skills.
Strong understanding of provider contracting language and terms.
Understanding of provider networks, reimbursement systems, and NYS / CMS reimbursement methodologies.
Strong understanding and ability to work within Emblem’s business model.
Strong understanding of the market.
Able to meet timelines.
Education & Experience:
Bachelor’s degree in Mathematics, Business or related major. Master’s Degree a plus but not required.
Minimum two to four years health insurance or Health Consulting experience.
Knowledge of New York State and Public Programs reimbursement methodologies.
Experience with physician and hospital fee schedules.
Experience in data analysis and modeling.",New York,http://www.indeed.com//rc/clk?jk=a0d4a2f913d5e939&fccid=059d889e14e3a9b4&vjs=3
53,Data Analyst,MealPal,"New York, NY","Are you ready for an amazing career opportunity? Are you a data-driven problem solver? Do you want to join a fast-paced, growing company?

As a Data Analyst at MealPal, you will drive meaningful insights to help inform the business strategy. You will manage weekly and monthly KPIs, build reports and dashboards, and create processes to ensure we use data to make impactful business decisions.

Responsibilities:

Generate, maintain, and automate reporting
Mine data for answers to business challenges
Develop insights and recommend business strategy based on data
Share data in a digestible way with the entire company
Define best practices and new processes to collect, analyze, and manage data

Requirements:

SQL coding and advanced Excel skills
Logical, problem-solving mentality
Expertise in data models, database design development, and segmentation techniques
Strong communication skills

Compensation:

Competitive base salary
Meaningful equity and the opportunity to build something
401(k)
Health benefits, paid vacation, and free lunch
Opportunity to work with a smart, passionate team

",New York,http://www.indeed.com//rc/clk?jk=98cd1afd95d7b8d0&fccid=d84ba397e7da398c&vjs=3
54,Business Data and Process Analyst,AIG,"New York, NY","Functional Area:
OP - Operations


Estimated Travel Percentage (%): No Travel


Relocation Provided: No


National Union Fire Insurance Co of Pittsburgh, PA



The Multinational Operations Data Analyst will play an integral role in the development of innovative insights and solutions to drive superior service performance.
Responsibilities include but are not limited to:
Provide perform in detailed analysis to better understand key business drivers and areas for process improvement
Requires a Bachelor’s Degree or higher or equivalent work experience
Requires 2 years or more of consulting experience in insurance or financial services
Requires 2 years or more experience in VBA, Excel, and PowerPoint
Requires 2 years in data analytics or data science including automation platform (Open Span)
Experience working with Reporting Tools / Business Intelligence Tools (Qlikview, Report Manager, Cognos and SharePoint)
Proficient in English along with solid written and verbal communication skills
Detail Oriented and proficient multitasking skills
Work closely with functional and business areas to translate business needs into technical specifications
Design, build, deploy, and support data analytic solutions, visualizations and reporting
Develop customized reports as needed
Conduct system testing and troubleshooting
Research and resolve data anomalies
Collaborate with teams to integrate existing systems
Support and improve existing data analysis solutions
Work closely with functional and business areas to ensure solutions are understood and provide training as needed
Develop specific recommendations based on quantitative and qualitative evidence
Collaborate with colleagues in a variety of roles across AIG to support ongoing initiatives and strategic projects
Capable of recognizing problems, document current state process maps, identifying root causes and escalating to relevant group for appropriate solution
Able to perform effectively while dealing with multiple priorities within tight deadlines
Highly motivated team player who is constantly striving to deliver excellent customer service



It has been and will continue to be the policy of American International Group, Inc., its subsidiaries and affiliates to be an Equal Opportunity Employer. We provide equal opportunity to all qualified individuals regardless of race, color, religion, age, gender, gender expression, national origin, veteran status, disability or any other legally protected categories.

At AIG, we believe that diversity and inclusion are critical to our future and our mission – creating a foundation for a creative workplace that leads to innovation, growth, and profitability. Through a wide variety of programs and initiatives, we invest in each employee, seeking to ensure that our people are not only respected as individuals, but also truly valued for their unique perspectives.",New York,http://www.indeed.com//rc/clk?jk=4cfe9041e2e83fed&fccid=9a92a4bf81326e1e&vjs=3
55,Statistical Programmer Analyst,Columbia University,"New York, NY","The Department of Biomedical Informatics at Columbia University Medical Center seeks a Statistical Programmer Analyst to join the Observational Health Data Sciences and Informatics (OHDSI) project team to assist in writing and running statistical analyses. The OHDSI initiative is a community-based effort, initially established as a multi-stakeholder collaborative with the aim of generating reliable evidence to support medical decision making. To achieve this aim, OHDSI has taken an open community approach which moves away from the current paradigm of conducting research in isolation, towards open-science designed to answer today's most relevant health-care questions.

The candidate will carry out large-scale analyses on the OHDSI database, which includes electronic health record data and claims data. The local database runs on an SQL database management system, using R as a container language for speedy compiled algorithms. Various statistical approaches are used, including: regularized regression, self-controlled case series, and p-value calibration. All work is open source.

The candidate will work primarily under the direction of the Principal Investigator. He/she will work closely with the project's team including the project manager, current software developers and sponsoring project personnel.

Minimum Qualifications for Grade
Applicant MUST meet these minimum qualifications to be considered an applicant

Requires a Bachelor's degree in Biostatistics, Statistics, Epidemiology, Computer Science, or related field plus four years of related experience.

Additional Position-Specific Minimum Qualifications
Applicant MUST meet these minimum qualifications to be considered an applicant

The candidate is expected to have a strong knowledge of statistical methods, R, SQL, and experience analyzing large clinical data sets. Proficiency in statistical software such as R, SAS, SPSS, STATA and M Plus required. The position is highly quantitative and highly interdisciplinary.

Special Instructions

Preferred Qualifications

Masters' degree in Biostatistics, Statistics, Epidemiology, Computer Science, or related field plus four years of related experience.

Essential Functions

DUTIES AND RESPONSIBILITIES:

Carry out large-scale analyses on the OHDSI database, which includes electronic health record data and claims data.
Review cohort data to understand the risks and effects.
Develop and run study protocols by designing experiments in the field.
Aid in building up the OHDSI methods library.
Advise and provide input and support to OHDSI methods working groups.
Actively answer questions and provide feedback on OHDSI forums.

Additional Essential Functions (Limit to 3950 characters.)

Special Indications

This position works with:
HIPAA Compliance training required

Yes

Participation in Medical Surveillance required

No

What type of posting? Is this a waiver request?

Standard Posting

Requisition Open Date

04-25-2018

Requisition Close Date

Open Until Filled

Quick Link

jobs.columbia.edu/applicants/Central?quickFind=168829",New York,http://www.indeed.com//rc/clk?jk=a8edb76f36400bb2&fccid=bd976cc171c690e0&vjs=3
56,Business Functional Analyst - Associate,Deutsche Bank,"New York, NY","Job Title: Business & Functional Analyst

Corporate Title: Associate

Location: New York
About Deutsche Bank
We are Germany’s leading bank with strong positions in Europe and significant presence in the Americas and Asia Pacific. We’re driving growth through our strong client franchise, investing heavily in digital technologies, prioritizing long-term success over short-term gains, and serving society with ambition and integrity. We serve our clients’ real economic needs in commercial and investment banking, retail banking and transaction banking, and provide ground-breaking products and services in asset and wealth management. That means a career packed with opportunities to grow and the chance to shape the future of our clients.
Working Area
The AFC IT (AFC: Anti Financial Crime) program is responsible for the global technology roadmap to support the AFC Business client and the respective businesses in Deutsche Bank in order adhere to regulatory requirements.
This role will primarily focus on supporting the AML Transaction Monitoring aspect of Anti Financial Crime.
AFC is a key strategic agenda item across the Bank and therefore this role is of very high importance. Collaboration with other IT groups and business groups (data providers, new product approval, client data, reference data etc.) are essential to achieve integrated AFC solutions for the Bank.
Role Description - Summary
You will be joining the Anti-Financial Crime (AFC) Information Technology program, which is responsible for the delivery of the global technology roadmap to support the AFC Business client and the respective businesses in Deutsche Bank, in order to promote adherence to regulatory requirements.
As the AML Transaction Monitoring (‘TM’) Business & Functional Analyst, you will help to shape and oversee TM products and services through the design and implementation stages of their lifecycles. You will be primarily responsible for the analysis of requirements and requests from the Anti-Financial Crime (AFC) business areas and for the identification and evaluation of necessary changes. You will also provide support for the Global AML Business Lead in both planned activities and reactive measures in response to external or internal environmental changes, including regulatory response and change.
You will participate in TM related analysis activities involving team members based in New York, Frankfurt, London and Bucharest. The Analysis Team captures, refines and documents requirements, contributes to solution design, analyses the feasibility and potential impacts of proposed changes, supports decision-making and governance, leads the creation of functional specifications, interfaces with the technology development team, and supports the AFC business during the implementation process.
Responsibility Areas / Tasks:
Collecting and defining business requirements in cooperation and in association with the business
Defining and documenting functional requirements to a low level and taking ownership of their delivery through the entire development lifecycle
Identifying, reporting and owning risks and issues
Supporting and coordinating User Acceptance Testing (‘UAT’), working in cooperation with the QA, Test teams and the client, helping to define test methodology and scripts
Collecting, documenting and sharing lessons learned to contribute to continual improvements to the processes supporting end-to-end TM change management and system support
Developing, maintaining and sharing a suite of documentation which defines the end-to-end data model, including Extraction, Transformation, Loading and use in TM scenarios
Employing data querying and analytical techniques to support the understanding of data and creation of management reports and actionable intelligence
Participating in data quality initiatives and contributing to the development of a data management and control framework

Professional Experience / Job Practice:
You should be able to exhibit some or all of the following:
Experience in delivering technical and/or operational solutions in Anti-Financial Crime in the Financial Services Industry
Awareness of industry trends, AML regulations, technical innovations and service providers
Broad understanding of banking products and services
Strong experience with business analysis in a financial services institution
Understanding of the payments industry, payments systems, data and protocols as well as SWIFT messaging
Ability to identify and interpret the requirements and needs of stakeholders
Strong communication skills, with ability to interpret and draft in both technical and non-technical language
Very good analytical problem solving capabilities
Well-developed knowledge of methods and tools for business analysis
Knowledge of quality management tools and techniques
Fluent English language, in speaking and in writing. Further language knowledge and ability is advantageous
It is advantageous to have knowledge of and/or experience in:
SQL
MS Office applications
Data, systems and process controls
Education / Certification:
Degree from an accredited college or university with a concentration in Business, Economics or Computer Science (or equivalent Business Analysis certification and/or relevant work experience)


For candidates applying for positions in the US:


Deutsche Bank is an Equal Opportunity Employer - Veterans/Disabled and other protected categories.",New York,http://www.indeed.com//rc/clk?jk=92c0b6a93b6118ce&fccid=f1d8e147024abb3f&vjs=3
