Id,company,description,link,location,search_city,title
29,Montefiore Medical Center/FDNY,"The Fire Department of the City of New York in conjunction with Montefiore Medical Center and Albert Einstein College of Medicine has an opening for data analyst to join our multidisciplinary team of physicians, biostatisticians and epidemiologists. The primary goal of our work is to monitor the health of over 14,000 firefighters and emergency medical personnel post-exposure to the World Trade Center disaster. The data analyst will assist in data related tasks and provide analytic support to the epidemiologists on new and ongoing physical and mental health projects leading to publication in peer-reviewed journals. This is an intellectually stimulating opportunity for a creative thinker and hard worker.Responsibilities of position: Complete data tasks that include pulling and cleaning data elements from several large WTC medical monitoring and treatment databases.Assist in the creation/maintenance of a data warehouse.Construct programming, data, and statistical solutions to clinical or research questions.Think critically to expand upon existing data reports and create new reports and visualizations. Reports will facilitate a feedback loop that informs clinical services of information gathered from surveys and medical exams.Respond to ad-hoc data and reporting requests using SAS, Excel, Tableau and related programs.Assist in research studies and manuscript or grant preparation as needed.Preferred Skills: Excellent problem solving, analytical, writing and communication skillsExperience using SAS, Excel, and related tools.Ability to work in a team and independently and across several projectsMaster’s degree in epidemiology/biostatistics/public health or related field.One or more years of work experience in public health/research setting.Experience with reporting or data visualization a plus.Job Type: Full-timeExperience:SAS programming or related: 1 yearEducation:Master's",http://www.indeed.com//rc/clk?cmp=Montefiore-Medical-Center%2FFDNY&ti=Data+Analyst&jk=1054ae4e733b36b8&fccid=54393d0267374ad7&vjs=3,"Brooklyn, NY",New York,Data Analyst
30,Spotify,"Spotify is seeking an Associate Marketing Analyst that will support the measurement of global marketing initiatives. This role reports to the Senior Manager, Marketing Data Science and you will work alongside a team of other marketing analysts. There will be significant collaboration with other marketing teams, particularly the Consumer Research, Marketing Strategy, Consumer Marketing, CRM and Media teams. You will leverage Spotify’s world class user data infrastructure and collaborate with Spotify’s global community of 100+ data analysts to improve the effectiveness of global marketing strategies.

What You’ll Do
Frequently analyze the results of marketing campaigns and recommend optimizations to improve performance

Ensure and monitor proper instrument tracking (e.g. via DoubleClick, Google Analytics, Adjust, internal CRM platforms) for marketing campaigns
Answer ad hoc marketing data questions, and troubleshoot tracking issues from a team of global marketers

Support targeting requests from a variety of different Marketing teams
Access marketing performance data through a variety of tools
Build performance reports and dashboards (e.g. Tableau, Datorama)



Who You Are
1+ years of experience in marketing analytics or business intelligence (focused in analytics) with a proven track record of delivering performance results required
Excel expertise required

Strong SQL skills required

Familiarity of digital media (search, display, social) and CRM (email, push notifications) preferred
Strong analytical skills, including data querying and dashboarding, preferred
Familiarity with marketing tracking platforms (e.g. DoubleClick, Google Tag Manager, Google Analytics, Adjust) preferred",http://www.indeed.com//rc/clk?jk=eabfe4fc4fe04028&fccid=fe404d18bb9eef1e&vjs=3,"New York, NY 10011",New York,"Associate Data Scientist, Global Marketing Analytics"
31,Montefiore Medical Center/FDNY,"The Fire Department of the City of New York in conjunction with Montefiore Medical Center and Albert Einstein College of Medicine has an opening for data analyst to join our multidisciplinary team of physicians, biostatisticians and epidemiologists. The primary goal of our work is to monitor the health of over 14,000 firefighters and emergency medical personnel post-exposure to the World Trade Center disaster. The data analyst will assist in data related tasks and provide analytic support to the epidemiologists on new and ongoing physical and mental health projects leading to publication in peer-reviewed journals. This is an intellectually stimulating opportunity for a creative thinker and hard worker.Responsibilities of position: Complete data tasks that include pulling and cleaning data elements from several large WTC medical monitoring and treatment databases.Assist in the creation/maintenance of a data warehouse.Construct programming, data, and statistical solutions to clinical or research questions.Think critically to expand upon existing data reports and create new reports and visualizations. Reports will facilitate a feedback loop that informs clinical services of information gathered from surveys and medical exams.Respond to ad-hoc data and reporting requests using SAS, Excel, Tableau and related programs.Assist in research studies and manuscript or grant preparation as needed.Preferred Skills: Excellent problem solving, analytical, writing and communication skillsExperience using SAS, Excel, and related tools.Ability to work in a team and independently and across several projectsMaster’s degree in epidemiology/biostatistics/public health or related field.One or more years of work experience in public health/research setting.Experience with reporting or data visualization a plus.Job Type: Full-timeExperience:SAS programming or related: 1 yearEducation:Master's",http://www.indeed.com//rc/clk?cmp=Montefiore-Medical-Center%2FFDNY&ti=Data+Analyst&jk=1054ae4e733b36b8&fccid=54393d0267374ad7&vjs=3,"Brooklyn, NY",New York,Data Analyst
32,Undertone,"At Undertone, we sit at the intersection of media, creative and technology. We have formed deep partnerships with the world’s best digital media properties, developed a suite of groundbreaking multi-screen creative formats for brands to leverage, and built technology platforms that underpin every aspect of campaign planning, delivery, optimization and measurement.
Undertone’s Data Management Service (UDMS) is a big data, cloud-based data-warehouse, dashboard and reporting enterprise responsible for providing information to the entire company. Do you want to help enable a data-driven organization? This is your opportunity to join a mission critical team, at an innovative company in an industry that is highly utilizing the power of data.
As a member of Undertone’s Analytics & Measurement Team, you will be a part of the company’s data analytics revolution which leads an organizational shift to an advanced analytical system, provides new data capabilities, builds new analytical and data products driving the business upward.
Job Responsibilities:
Work with business leaders to understand their analytical needs, including identifying critical metrics and KPIs
Use analytical and problem-solving skills to deliver actionable insights to relevant decision makers
Work with the team members to ensure projects are delivered on time and meet user expectations, while learning from leaders in the analytical space
Develop rich interactive visualizations integrating various reporting components from multiple data sources
Use SQL, Tableau and other technologies to pull data from different backend systems and product meaningful information and visualizations
Work directly with users and management to gather requirements, provide status updates, and build good relationships
Profile and Experience:
Must be in the last year a Bachelor’s degree or enrolled in a Master’s degree program in the following fields: Data Analytics / Data Science / Engineering / Mathematics
Expert SQL coding skills against large data sets
Strong analytical skills
Strong oral and written communications skill
Knowledge of business intelligence tools such as Tableau – a plus

Undertone is committed to building a company whose staff reflects the true diversity of our community. Our employees are hired, promoted, and rewarded on the basis of talent, performance, dedication and results. We embrace our diversity and are proud to be an Equal Opportunity Employer that welcomes all candidates without regard to race, creed, color, religion, national origin, alienage or citizenship status, sex, age, sexual orientation, gender identity, marital status, partnership status, ancestry, disability or veteran status.",http://www.indeed.com//rc/clk?jk=04e7951a4131e2ce&fccid=8a1948097c0acf32&vjs=3,"New York, NY 10173",New York,Data Analyst Intern
33,Investopedia,"Job Description

Do you love data? Charts? Finding trends in numbers? The Investopedia Business Intelligence team is looking for an insightful and passionate Data Analyst intern to support our reporting efforts and help deliver actionable insights to several different departments. You need to be detail-oriented, and have the ability to pick up nuances of various types of datasets and databases. You will be assisting in both report maintenance report building, and should be inquisitive, thorough, and resourceful.
RESPONSIBILITIESPull ad-hoc data requests from our database using SQLDeliver clear written and/or verbal summaries of your analysis to the team, using charts and visualizations in Excel as neededHelp monitor and track KPIsKeep our Tableau reports fresh and up to date by adding new features/requests as needed and troubleshooting problems if they arise
- Help spot and investigate major changes in data - whether negative or positive - to understand causes of spikes in trendsSupport report building efforts by building SQL queries, QAing data, testing automation, and reporting bugs Qualifications

Intermediate knowledge of SQL is a must, with at least 1 year experience in an analytics role, or skill-level equivalentAdvanced Excel skills (pivot tables, vlookup, chart creation, advanced formulas, etc)Excellent oral and written communication skillsStrong time management: can set and deliver on expectations in the agreed upon amount of timeAbility to learn/explore new tools quicklyStrong critical thinkerExperience with Tableau and Google Analytics is a plus
Additional Information

About Investopedia:
Investopedia is the world’s largest financial education platform, serving over 30 million unique visitors each month. Since 1999, it has been our mission to empower the investing and financial community with the knowledge to make intelligent financial decisions. Since joining IAC in 2014, we have entered an investment period and are rapidly expanding our content while introducing new tools to further cater to our most sophisticated audiences.
We are serious about continuing to drive a company culture that is both visionary and fun, and in the market for amazing colleagues who share that mentality. We are daring, creative and endlessly curious and are looking for the same in our talent.
Here are a few reasons to work with us…
Because we were voted one of the Best Places to Work two years in a row (2016 & 2017) by Business Intelligence Group, Crains Best Places to Work and a Digiday award!
Because our employees love us on Glassdoor! (http://bit.ly/1VN8EgG)
Because we believe in SCOPE (http://bit.ly/INV_SCOPE)
Because you get to work with this guy! (David Siegel, CEO interview with Forbes) (http://onforb.es/1Qntovl)
And these guys and gals! (http://bit.ly/2chB0lX)
We care about our business and want you to know everything from goals to numbers to what’s for lunch. We have doubled in size in less than a year and we’re excited for growth, innovation, hard work and fun!
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",http://www.indeed.com//rc/clk?jk=24c330d0b9eade46&fccid=96c583f5a8451aaa&vjs=3,"New York, NY",New York,Data Analyst Intern
34,Etsy,"Analysts at Etsy use rigorous methods to generate insights that inform product, engineering and business decisions across the company. We work closely with partner teams through all stages of development, from uncovering opportunities, to refining the user experience, to analyzing the impact of our efforts, and highlighting improvement areas.

In this role, you would partner closely with our Search & Find team. This team focuses on building an exceptional search experience on Etsy - from the machine learning platform that powers Search and Recommendations, to on-site tools and design that inspire and guide our buyers.

Learning new skills and techniques is not only a requirement but a perk of the job. We are always looking for opportunities to improve. Our mission is to guide our partner teams with data-driven insights and tell the story of how we attract and retain buyers to teams, to senior management, and to the community.

This role is located in our Brooklyn, NY and is part of our Analytics and Strategic Finance team.
About the Role
Transform raw data into meaningful and impactful analysis characterized by strong data governance, technique transparency and aggressive documentation.
Partner with senior leaders from product, engineering, and machine learning data science to identify opportunities for improvement and drive decision-making.
Design and analyze rigorous experiments, help teams set great hypotheses, and deliver robust analysis of experiment results.
Identify actionable metrics to understand the performance of products and algorithms, develop dashboards and/or reports to track performance, and ingrain these metrics into teams’ day-to-day decision-making.
Raise the skill level of entire analyst team through the creation of exemplary work, mentorship and the introduction of better practices, processes and tools.
Help advocate for Etsy’s data-driven decision-making process internally and externally.
Continually evaluate and refine your technical toolkit; teach what you learn to the team.
About You
You have 2+ years experience as a data scientist or data analyst in which you have extracted meaning from big data sets with little engineering support.
You are proficient in SQL and have familiarity with either R or Python. Bonus points for experience with the Hadoop ecosystem or additional scripting languages (Scala, PHP, Ruby, etc.)
Experience with Looker, Tableau, or other data visualization software a plus.
You are a strong, independent, analytical thinker who enjoys tackling complex and nuanced problems.
You love statistics and have experience in statistical methods while being fluent in experimental analysis and a/b testing.
You can communicate your insights verbally, visually and in writing. You are able to take on loosely defined problems and distill complex findings into actionable recommendations.
You have experience working with web data and you are familiar with the e-commerce and/or marketplace space. Familiarity with search algorithms is a plus.
You care deeply about the quality and integrity of your work.
You care about reproducible work and have picked up tools to this end; you can teach others how to make their own work better and more efficient.
What’s Next

Interested in working with us? Send us a cover letter and your resume explaining why you’d be great for the job. We value your unique talents and point of view, so feel free to tell us what you are all about. If you have an online presence (blog, Twitter, Facebook), send it along. And if you write, draw, craft, or contribute to something you’re proud of, we’d love to hear about it.

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer, we do not discriminate on the basis of color, ancestry, religion, gender identity, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, actual or presumed belonging to an ethnic group, or any other legally protected status.",http://www.indeed.com//rc/clk?jk=9a6e6e958778e35e&fccid=9ecb91618c39a24f&vjs=3,"Brooklyn, NY",New York,"Data Analyst, Search"
35,Celltime Inc,"We are looking for recent graduates/experienced professionals for Analysts who would assist us in our E-Commerce applications and sales.Responsibilities: Create Ad-hoc reporting and support of new report development as neededTrack key performance indicators to enhance the understanding of sales performanceCommunicate and work effectively with people at all levelsTrack data and sales to enhance company performanceQualifications: Bachelors or Master’s Degree - Entry Level PreferredStrong Communication & Technical skillsGood with computers and Excel a mustResponsible, dependable, quick learnerOnline product designing skills a plus pointDemonstrated ability to adapt to new technologyJob Type: Full-timeEducation:Bachelor'sLocation:Brooklyn, NY 11223",http://www.indeed.com//company/Celltime-Inc/jobs/Entry-Level-Analyst-ffa3b10e5b73a2ee?fccid=cf7ae0c071446a25&vjs=3,"Brooklyn, NY 11223",New York,Entry Level Analyst
36,Thales Group,"TOGETHER WE CONNECT PEOPLE AND CITIES THROUGH TRANSIT TECHNOLOGY

Have you ever wondered how mass-transit systems support the transport of millions of people per day? In the Transportation industry, Thales brings customers new levels of efficiency by providing them with integrated sensors, cyber secure data communications, network management systems, and controlled and automated response systems. By automating key operations within the network, decisions can be made with the confidence that safety and security will be maintained – so be a part of something big, join Thales.

Key Responsibilities:
Individual contributor: Provides technical support and/or maintenance, upgrade and operational condition continuity services (repair and replacement management, obsolescence management, refill supply, retrofitting, PHS&IT (1) and customs.
Produces performance indicators, deadlines and support quality, in line with contract commitments.
Consolidates and analyzes customer data.

Required Skills and Experience:
Pursing Master’s degree in an Engineering
Knowledge of programming languages such as Technical: Python, Java, C++, R, Microsom Office, iWork, iMovie, MathemaOca, Google Drive
Familiarity with French and Mandarin languages
Previous coursework in Micro- and Macro-economics, InternaOonal and Development Economics,
Investment Science, and Decision Analysis.
Be organized and able to work in a fast paced environment
Great verbal and written communication skills
Self –motivated, critical thinker with a technical background
Ability to work independently as well as in teams with members of other engineering and non-engineering teams
If this sounds like an opportunity you are interested in, please apply now so you don’t miss out!

At Thales we provide CAREERS and not only jobs. With Thales employing 68,000 employees in 50 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now! Thales champions inclusion and we believe diversity strengthens the fabric of our culture. We are an Equal Opportunity Employer/AA/Minorities/Females/Veterans/Disabled.",http://www.indeed.com//rc/clk?jk=dc8103bc6b8ddcad&fccid=b920aab5fd60595d&vjs=3,"New York, NY",New York,Analyst Intern
37,OKCupid,"OkCupid is looking to hire a Business Intelligence Analyst!

OkCupid is the best online dating product on Earth! Our iOS and Android apps are some of the highest-rated on the market. Statistically speaking, odds are that someone you know has found a date on OkCupid (seriously, just ask around).

In this role, you will:

Prepare financial trend and data analysis reports for company’s senior management
Develop stories using real data to share with outside media publications and business partnerships
Procure and maintain financial reporting and user engagement data for presentation to internal teams and product decisions
Design and create intuitive yet scalable reports, dashboards and visualizations that business owners can rely on to make business decisions
Creatively automate reporting and extract insights from OkCupid’s performance

We’re looking for:

3+ years’ experience using SQL with any database such as MySQL, PostgreSQL, or MS SQL Server
Experience with the Python programming language preferred
Strong analytical skills and experience with MS Excel
Bachelor’s degree in Mathematics, Computer Science, Economics, Finance, Business, or Engineering related field a plus

What are some perks?


Competitive salary and full benefits, including Medical, Dental, Vision, and 401k
Workstation and tools of your choice
Paid attendance to conferences
Regularly catered lunch and a bomb shelter stockpile of snacks and drinks
Company funded happy hours/events
A sunny office full of incredibly curious and friendly people

OkCupid is an equal opportunity employer. We celebrate diversity and are deeply committed to fostering an inclusive environment for all employees.",http://www.indeed.com//rc/clk?jk=04f05628dba51484&fccid=83c2b858789e9038&vjs=3,"New York, NY",New York,Business Intelligence Analyst
38,Braze,"WHO WE ARE

Top enterprises and brands rely on Braze (formerly Appboy) to deliver personalized messaging experiences that span across channels, platforms, and devices. Each month, tens of billions of messages associated with nearly 2 billion active users are managed through our technology. We’re solving the very hard problem of humanizing brands - ensuring the world’s best brands can interface with hundreds of millions of users in a way that is highly personalized.

WHAT WE'RE LOOKING FOR

You love everything about data. You have no problem diving into data; cleaning it, transforming it, analyzing it, visualizing it, and using it to tell stories. You want to develop your passion into a career at a rapidly growing company with tons of data about mobile and digital interactions. You want to contribute to the business as well as grow the business.

In addition, this position is exempt under the provisions of the Fair Labor Standards Act.

WHAT YOU'LL DO


Identify reports, dashboards, and analysis needed by the business
Design and implement said reports, dashboards, and analysis
Analyze billions mobile and digital messaging data points
Be in the weeds pulling, cleaning, analyzing, and transforming raw data into insightful findings

WHO YOU ARE


4-year college degree AND 0-2 years of experience professional experience, preferably working with data; OR 2-4 years of professional experience, preferably working with data
Working knowledge of relational (SQL) and/or non-relational (Mongo) databases and syntax
Strong math, statistics, and reasoning skills
Fast learner, self-starter, go-getter, intellectually curious, all that jazz

Nice to Have:

Familiarity with Python, Ruby, and/or Javascript
Familiarity with Looker and/or Snowflake

WHAT WE OFFER


Competitive compensation that includes equity
Excellent medical, dental, and vision coverage for you and your dependents
401(k) matching, life insurance, commuter benefits, and parental leave plans
Daily catered lunches and fully stocked kitchen with snacks and beverages
Collaborative, transparent, collegial and fun loving office culture
Flexible time off policy to balance your work and life in the way that suits you best

",http://www.indeed.com//rc/clk?jk=c4dc1fed109ab41b&fccid=7c138e549c2cd781&vjs=3,"New York, NY",New York,Business Intelligence Analyst
39,MoviePass,"The Inside Scoop
MoviePass is looking for a Junior Fraud Analyst to join the Customer Experience team. This individual will report directly to the Customer Experience Operations Manager, assisting in research and analysis of transactional data to reduce and correct incoming transactions. The interesting part of this role is being able to work with a variety of departments within the company, building relationships and solving problems.
Your Role
Research and analyze incoming transactions for fraud or other forms of activity
Dispute chargebacks and research cases to manage internal processes
Build solutions and enhancements for fraud prevention platform
Steady awareness of fraud tactics (current, past, present)
Partner with engineering team and other departments to improve systems
Monitor accounts for any type of abuse
What We Love To See
Bachelor’s degree preferred
1-2 years of professional experience with data analysis and/or fraud prevention
You have a detective/investigative mindset and love connecting the dots
Work effectively in a fast-paced environment
Ability to work through an issue or task at hand with (sometimes) little information while then being able to weigh pros and cons to arrive at an informed business decision
Capable of remaining calm and collect in stressful situations
Extremely organized with strong attention to detail
Who We Are
MoviePass is a technology company dedicated to enhancing the exploration of cinema. As the nation’s premier movie-theater subscription service, MoviePass provides film enthusiasts the ability to attend unlimited movies. The service, now accepted at more than 91% of theaters across the United States, is the nation’s largest theater network. For more information, visit www.moviepass.com.",http://www.indeed.com//rc/clk?jk=abf5aed679e4bedc&fccid=12223a2c24c4318d&vjs=3,"New York, NY 10014",New York,Junior Fraud Analyst
40,BlueOptima,"BlueOptima is the only company providing reliable, objective software development productivity metrics. The technology has been implemented by some of the world’s largest organisations including insurance companies, asset managers, telecoms and nine of the world’s top twelve Universal Banks. This successful product uptake has led to rapid expansion of the company.BlueOptima Inc is the US subsidiary of BlueOptima Ltd. Our US offices are in Midtown, NYC and the HQ is in London, UK.Whom are we looking for?We are looking for analytical individuals with expertise in statistical analysis and technical understanding. You will join our growing consultancy team to provide statistical analysis and reports for our clients, working under Blue Optima’s Senior Data Science Manager within client companies.Given that our product measures the effort teams make as they write software, it would be hypocritical of us not to pay a lot of attention to the work we are putting into our jobs – so the work you do will be highly visible to the whole team.The role includes comprehensive training and development.You can expect to be doing a mix of client projects and ad hoc work – some examples are below – as well as working with the sales team as they deliver executive presentations.LocationYour home office will be at BlueOptima’s New York office, in Midtown NYC.Responsibilities and DutiesLiaison between client technical team and BlueOptima development teamDesigning internal reports for use by management team and client at various tiersSupporting product rollout with deep dives customised analytic reports.Become the ambassador of BlueOptima and understand Coding Effort metric.Data Quality checks.Liaising with backend team on future developmentsCreating / maintaining BI dashboardsProduce reports based on BlueOptima Coding Effort data and explain the insight they reveal to senior managers to support decision-makingQualifications and SkillsMaster’s degree in Statistical/Analytical/Mathematical Degree or equivalent expertise in an analytical role.Internships or Work Experience in Industry is beneficial.Key SkillsLanguage Skills - R , PythonAnalytical Tools - Excel TableauStrong fundamentals in Statistical Analysis with R or similar programming experience (e.g. Python), and help develop additional applications for the BlueOptima productKnowledge of project management and designing processes to deliver successful outcomes.BenefitsYou will earn $35,000 – $45,000 per year as well as performance-based bonuses.Formal and informal training is included.BlueOptima is rapidly acquiring new clients, thus our consultancy team needs to grow. Joining the team at the stage means a strong likelihood of opportunities to manage future consultants as well as contribute your own ideas to the development of the company.How to ApplyClick Link Belowhttps://hire.withgoogle.com/public/jobs/blueoptimacom/view/P_AAAAAAEAAADIZumed0E_5h?trackingTag=indeedOur recruitment process comprises three stage to practically test candidates’ abilities: Send your CV to us including a paragraph about your suitability for the role. If you are shortlisted, we will ask you to complete a work sample test to assess your programming and statistical competencies, and you will need to complete a short piece of written work. If this work is to a high standard, we will invite you a series of face-to-face interviews. If you’re successful you’ll be invited to interview with your eventual manager.Job Type: Full-timeSalary:  $35,000.00 to $45,000.00 /yearJob Type: Full-timeSalary: $35,000.00 to $45,000.00 /yearRequired work authorization:United States",http://www.indeed.com//company/BlueOptima/jobs/Data-Analyst-f78e161e4fa0f60a?fccid=0a416f2dc62f7a9e&vjs=3,"New York, NY",New York,Data Analyst
41,Haven Life,"Haven Life is an insuretech innovator at MassMutual that offers a new way to get life insurance online that's actually simple.
We combine the culture of a startup with the stability and backing of a Fortune 500 company to create an environment that's truly unique.
Our diverse team is comprised of smart, collaborative people who think big, execute quickly and don't take themselves too seriously. We're located in New York's Flatiron District and in case you're wondering, yes, we provide free snacks. Cold brew too.
If you're creative, professional and kind, we'd love to hear from you.

WHAT’S IN IT FOR YOU:
Project ownership
Small collaborative team
Big impact on huge industry
Startup culture
Big company financial stability
Great benefits, including medical, dental, vision, 401k, commuter reimbursement

ABOUT THE POSITION
We are looking for a motivated self-starter with a passion for building software to solve complex and high-impact problems in simple, innovative, and customer centric ways.
If you wake up every day excited to reimagine existing processes and create experiences that use cutting-edge data science models and new data sources in order to drive faster and more positive customer experiences, please apply.
This role will collaborate with product owners, scrum teams, and key stakeholders to outline new product features and ensure that development teams have the information they need to make these features a reality.

WHAT YOU WILL DO
Collaborate with legal, compliance, and subject matter experts to fully analyze and understand existing products, business processes and systems in order to improve customer experience through the underwriting funnel
Apply critical thinking and problem solving skills to re-imagine the digital underwriting experience from the lens of both customers and underwriters, including on innovative ways to make use of complex prescription and medical data
Create and own requirements for features and enhancements that satisfy legal and compliance needs while also addressing existing pain points and fundamentally improving the user experience through simplification, automation, and innovation.
Collaborate closely with Product Management and Design to continuously improve upon requirements via an iterative and agile approach.
Make recommendations about products and features that would support a positive customer experience and drive platform evolution
Be able to effectively prioritize requirements for a minimum viable product or delivery while conceptualizing a medium term roadmap for platform evolution.
Collaborate closely with developers and QA in the execution and testing of new product features; design test cases to monitor system functionality and support system enhancements
Partner with operations to monitor and evaluate processes in order to improve the customer experience
Work with other team members to help outline team roadmaps and communicate these to internal stakeholders
Pitch in wherever needed
Requirements
Required Skills/Experience
BS/BA
1 to 2 years of experience in a business analyst or junior product owner role or working on a software development team
Entrepreneurial minded
Self-starter
Qualified Applicants must be authorized to work in the US for any employer without requiring Visa sponsorship.
Preferred Skills/Experience
BS/BA in Information Technology, Computer Science, Business or a Related Field
Experience in a Startup Company
Agile software development experience
Experience with complex data and/or data science models
Experience working within a financial services or insurance context
Experience working on long-term, cross-team projects
Benefits
We pay competitive base salaries and we reward performance. Our salary structure is commensurate with experience. In addition, you will be eligible to participate in our comprehensive benefits program including medical insurance and 401(K).",http://www.indeed.com//rc/clk?jk=449aaea4fc8c4b89&fccid=1058973f84077674&vjs=3,"New York, NY",New York,Business Analyst
42,Tudor Investment Corporation,"Overview
--------

Financial Data is responsible for back office pricing as well as time series data for trading/modeling/analysis. We work closely with other departments within Management & Control to ensure the accuracy and best practices in security valuation, compliance, risk management, and other operational areas key to Tudor's continued success. We also work closely with various front office groups, helping them leverage existing data and delivering new data sets.

Responsibilities
----------------


Working with our offshore Data Operations team to oversee their processes, which include cross checking, verifying and updating security and economic data. He/She will serve as an escalation point for Level II requests from this team.
Operational development work, including monitoring data processing alerts, rerunning jobs, and troubleshooting job failures.
Working with users of Tudor's financial data to identify, access, and query series of interest in Tudor’s internal databases, including a third party tick database. These groups include but are not limited to Trading, Global Research, Middle Office, Risk, and Compliance.
Will also perform project work in addition to regular/ongoing responsibilities. Examples include verifying the integrity of large datasets, creating and loading history for several new instruments or macroeconomic series, developing new data quality checks, and integrating new data sources.

Job Requirements
----------------


BA/BS with strong academic background
Strong problem-solving and organizational skills are a must, along with meticulous attention to detail and a goal-oriented work approach. Must be able to prioritize in a fast-paced work environment.
Requires strong communication skills, proven ability to plan and execute projects, communicate goals and progress as well as any problems.
Proven ability to work with numbers and large data sets
Solid computer skills - proficient with MS Office, especially Excel
Experience working with Bloomberg, Reuters, DataStream, and/or FactSet terminals and Excel add-ins
Technical experience with SQL, UNIX, and Python a plus.

",http://www.indeed.com//rc/clk?jk=3a257798776eb12d&fccid=7a86ce188d35d248&vjs=3,"New York, NY",New York,Data Analyst
